Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
C,"Thakkar, S; Cao, CX; Wang, LF; Choi, TJ; Togelius, J",,,IEEE,"Thakkar, Sarjak; Cao, Changxing; Wang, Lifan; Choi, Tae Jong; Togelius, Julian",,,Autoencoder and Evolutionary Algorithm for Level Generation in Lode Runner,2019 IEEE CONFERENCE ON GAMES (COG),IEEE Conference on Computational Intelligence and Games,,,,IEEE Conference on Games (IEEE COG),"AUG 20-23, 2019","London, ENGLAND","IEEE,Queeen Mary Univ London,Microsoft,WARGAMING.NET,Unity,Creat Assembly,IEEE Computat Inetllgence Soc,Draughts",,,,,,,,,,"Togelius, Julian/0000-0003-3128-4598",,,,,,,,,,,,,2325-4270,,978-1-7281-1884-0,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,WOS:000843154300066,View Full Record in Web of Science
J,"Kim, H; Hahn, T; Kim, S; Kang, S",,,,"Kim, Hwanhee; Hahn, Teasung; Kim, Sookyun; Kang, Shinjin",,,Graph Based Wave Function Collapse Algorithm for Procedural Content Generation in Games,IEICE TRANSACTIONS ON INFORMATION AND SYSTEMS,,,,,,,,,,,,,,,,,,"Kim, Hwanhee/0000-0001-6563-9110",,,,,,,,,,,,,1745-1361,,,,,AUG,2020,E103D,8,,,,,1901,1910,,10.1587/transinf.2019EDP7295,http://dx.doi.org/10.1587/transinf.2019EDP7295,,,,,,,,,,,,,WOS:000576052000014,View Full Record in Web of Science
C,"Park, JW; Oh, SH",,,IEEE,"Park, Jung Woon; Oh, Seok Hee",,,A Study on Creation and Usability of Real Time City Generator via Procedural Content Generation - Focus on virtual reality contents for senior,2019 INTERNATIONAL SYMPOSIUM ON MULTIMEDIA AND COMMUNICATION TECHNOLOGY (ISMAC),,,,,International Symposium on Multimedia and Communication Technology (ISMAC),"APR 19-21, 2019","Quezon City, PHILIPPINES","IEEE Philippines Sect,IST,Univ Philippines, Elect & Elect Engineers Alumni Assoc Inc,Univ Philippines",,,,,,,,,,,,,,,,,,,,,,,,,978-1-7281-1918-2,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,WOS:000528863700021,View Full Record in Web of Science
C,"Kim, H; Lee, S; Lee, H; Hahn, T; Kang, S",,,IEEE,"Kim, Hwanhee; Lee, Seongtaek; Lee, Hyundong; Hahn, Teasung; Kang, Shinjin",,,Automatic Generation of Game Content using a Graph-based Wave Function Collapse Algorithm,2019 IEEE CONFERENCE ON GAMES (COG),IEEE Conference on Computational Intelligence and Games,,,,IEEE Conference on Games (IEEE COG),"AUG 20-23, 2019","London, ENGLAND","IEEE,Queeen Mary Univ London,Microsoft,WARGAMING.NET,Unity,Creat Assembly,IEEE Computat Inetllgence Soc,Draughts",,,,,,,,,,,,,,,,,,,,,,,2325-4270,,978-1-7281-1884-0,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,WOS:000843154300100,View Full Record in Web of Science
J,"de Lima, ES; Feijo, B; Furtado, AL",,,,"de Lima, Edirlei Soares; Feijo, Bruno; Furtado, Antonio L.",,,Procedural generation of branching quests for games,ENTERTAINMENT COMPUTING,,,,,,,,,,,,,,,,,,"Soares de Lima, Edirlei/0000-0002-2617-3394; Feijo, Bruno/0000-0003-4441-2632",,,,,,,,,,,,,1875-9521,1875-953X,,,,AUG,2022,43,,,,,,,,100491,10.1016/j.entcom.2022.100491,http://dx.doi.org/10.1016/j.entcom.2022.100491,,AUG 2022,,,,,,,,,,,WOS:000847853000002,View Full Record in Web of Science
J,"Zafar, A; Mujtaba, H; Beg, MO",,,,"Zafar, Adeel; Mujtaba, Hasan; Beg, Mirza Omer",,,Search-based procedural content generation for GVG-LG,APPLIED SOFT COMPUTING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1568-4946,1872-9681,,,,JAN,2020,86,,,,,,,,105909,10.1016/j.asoc.2019.105909,http://dx.doi.org/10.1016/j.asoc.2019.105909,,,,,,,,,,,,,WOS:000503388200061,View Full Record in Web of Science
J,"Brown, JA",,,,"Brown, Joseph Alexander",,,"Pitching Diablo On the development of marketing, procedural content, and narrative",ICGA JOURNAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1389-6911,2468-2438,,,,,2018,40,4,,,,,417,424,,10.3233/ICG-180066,http://dx.doi.org/10.3233/ICG-180066,,,,,,,,,,,,,WOS:000462713900013,View Full Record in Web of Science
C,"Gravina, D; Khalifa, A; Liapis, A; Togelius, J; Yannakakis, GN",,,IEEE,"Gravina, Daniele; Khalifa, Ahmed; Liapis, Antonios; Togelius, Julian; Yannakakis, Georgios N.",,,Procedural Content Generation through Quality Diversity,2019 IEEE CONFERENCE ON GAMES (COG),IEEE Conference on Computational Intelligence and Games,,,,IEEE Conference on Games (IEEE COG),"AUG 20-23, 2019","London, ENGLAND","IEEE,Queeen Mary Univ London,Microsoft,WARGAMING.NET,Unity,Creat Assembly,IEEE Computat Inetllgence Soc,Draughts",,,,,,,,,"; Yannakakis, Georgios N./R-9213-2016","Togelius, Julian/0000-0003-3128-4598; Liapis, Antonios/0000-0001-5554-1961; Yannakakis, Georgios N./0000-0001-7793-1450; Khalifa, Ahmed/0000-0002-7839-9432",,,,,,,,,,,,,2325-4270,,978-1-7281-1884-0,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,WOS:000843154300079,View Full Record in Web of Science
C,"Abuzuraiq, AM; Ferguson, A; Pasquier, P",,,IEEE,"Abuzuraiq, Ahmed M.; Ferguson, Arron; Pasquier, Philippe",,,Taksim: A Constrained Graph Partitioning Framework for Procedural Content Generation,2019 IEEE CONFERENCE ON GAMES (COG),IEEE Conference on Computational Intelligence and Games,,,,IEEE Conference on Games (IEEE COG),"AUG 20-23, 2019","London, ENGLAND","IEEE,Queeen Mary Univ London,Microsoft,WARGAMING.NET,Unity,Creat Assembly,IEEE Computat Inetllgence Soc,Draughts",,,,,,,,,,"Pasquier, Philippe/0000-0001-8675-3561",,,,,,,,,,,,,2325-4270,,978-1-7281-1884-0,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,WOS:000843154300049,View Full Record in Web of Science
C,"Zafar, A; Hassan, S; Uddin, QS",,,IEEE,"Zafar, Adeel; Hassan, Shahbaz; Uddin, Qazi Shuja",,,Corpus for Angry Birds Level Generation,"2019 2ND INTERNATIONAL CONFERENCE ON COMPUTING, MATHEMATICS AND ENGINEERING TECHNOLOGIES (ICOMET)",,,,,"2nd International Conference on Computing, Mathematics and Engineering Technologies (iCoMET)","JAN 30-31, 2019","Sukkur, PAKISTAN",,,,,,,,,,,,,,,,,,,,,,,,,,978-1-5386-9509-8,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,WOS:000469483700052,View Full Record in Web of Science
J,"Petrovas, A; Bausys, R",,,,"Petrovas, Aurimas; Bausys, Romualdas",,,Procedural Video Game Scene Generation by Genetic and Neutrosophic WASPAS Algorithms,APPLIED SCIENCES-BASEL,,,,,,,,,,,,,,,,,,"Bausys, Romualdas/0000-0002-6284-0406",,,,,,,,,,,,,,2076-3417,,,,JAN,2022,12,2,,,,,,,772,10.3390/app12020772,http://dx.doi.org/10.3390/app12020772,,,,,,,,,,,,,WOS:000746231700001,View Full Record in Web of Science
C,"de Pontes, RG; Gomes, HM",,,IEEE,"de Pontes, Rafael Guerra; Gomes, Herman Martins",,,Evolutionary Procedural Content Generation for an Endless Platform Game,2020 19TH BRAZILIAN SYMPOSIUM ON COMPUTER GAMES AND DIGITAL ENTERTAINMENT (SBGAMES 2020),Brazilian Symposium on Games and Digital Entertainment SBGAMES,,,,19th Brazilian Symposium on Computer Games and Digital Entertainment (SBGames),"NOV 07-10, 2020",ELECTR NETWORK,"Cathol Univ Pernambuco, Digital Games Course,Fed Univ Pernambuco, Ctr Informat,Unity,Unreal Engine,Recife Ctr Adv Studies & Syst",,,,,,,,,,,,,,,,,,,,,,,2159-6654,2159-6662,978-1-7281-8432-6,,,,2020,,,,,,,80,89,,10.1109/SBGames51465.2020.00021,http://dx.doi.org/10.1109/SBGames51465.2020.00021,,,,,,,,,,,,,WOS:000904725100010,View Full Record in Web of Science
J,"Hooshyar, D; Yousefi, M; Lim, H",,,,"Hooshyar, Danial; Yousefi, Moslem; Lim, Heuiseok",,,A Procedural Content Generation-Based Framework for Educational Games: Toward a Tailored Data-Driven Game for Developing Early English Reading Skills,JOURNAL OF EDUCATIONAL COMPUTING RESEARCH,,,,,,,,,,,,,,,,,"Hooshyar, Danial/X-5126-2018","Hooshyar, Danial/0000-0002-9143-6648",,,,,,,,,,,,,0735-6331,1541-4140,,,,APR,2018,56,2,,,,,293,310,,10.1177/0735633117706909,http://dx.doi.org/10.1177/0735633117706909,,,,,,,,,,,,,WOS:000429868600007,View Full Record in Web of Science
J,"Matthews, EA; Gilbert, JE",,,,"Matthews, Elizabeth A.; Gilbert, Juan E.",,,ATLAS CHRONICLE: DEVELOPMENT AND VERIFICATION OF A SYSTEM FOR PROCEDURAL GENERATION OF STORY-DRIVEN GAMES,IADIS-INTERNATIONAL JOURNAL ON COMPUTER SCIENCE AND INFORMATION SYSTEMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1646-3692,,,,,,2020,15,2,,,,,76,90,,,,,,,,,,,,,,,,WOS:000728191200007,View Full Record in Web of Science
C,"Calimeri, F; Germano, S; Ianni, G; Pacenza, F; Pezzimenti, A; Tucci, A",,"Ghidini, C; Magnini, B; Passerini, A; Traverso, P",,"Calimeri, Francesco; Germano, Stefano; Ianni, Giovambattista; Pacenza, Francesco; Pezzimenti, Armando; Tucci, Andrea",,,Answer Set Programming for Declarative Content Specification: A Scalable Partitioning-Based Approach,AI*IA 2018 - ADVANCES IN ARTIFICIAL INTELLIGENCE,Lecture Notes in Artificial Intelligence,,,,17th International Conference of the Italian-Association-for-Artificial-Intelligence (AI*IA),"NOV 20-23, 2018","Trento, ITALY",Italian Assoc Artificial Intelligence,,,,,,,,,"Pacenza, Francesco/HLH-1328-2023; Calimeri, Francesco/J-1935-2012","Pacenza, Francesco/0000-0001-6632-3492; Calimeri, Francesco/0000-0002-0866-0834; Tucci, Andrea/0000-0003-4187-8250; Pezzimenti, Armando/0000-0003-4341-9445; Germano, Stefano/0000-0001-6993-0618",,,,,,,,,,,,,0302-9743,1611-3349,978-3-030-03840-3; 978-3-030-03839-7,,,,2018,11298,,,,,,225,237,,10.1007/978-3-030-03840-3_17,http://dx.doi.org/10.1007/978-3-030-03840-3_17,,,,,,,,,,,,,WOS:000590143900017,View Full Record in Web of Science
C,"Nenad, M",,,ACM,"Nenad, Mihajlo",,,Designing Game Worlds. Coherence In The Design Of Open World Games Through Procedural Generation Techniques,PROCEEDINGS OF THE 2018 ANNUAL SYMPOSIUM ON COMPUTER-HUMAN INTERACTION IN PLAY COMPANION EXTENDED ABSTRACTS (CHI PLAY 2018),,,,,5th ACM SIGCHI Annual Symposium on Computer-Human Interaction in Play (CHI PLAY),"OCT 28-31, 2018","Melbourne, AUSTRALIA","Assoc Comp Machinery,ACM SIGCHI",,,,,,,,,,,,,,,,,,,,,,,,,978-1-4503-5968-9,,,,2018,,,,,,,353,363,,10.1145/3270316.3270319,http://dx.doi.org/10.1145/3270316.3270319,,,,,,,,,,,,,WOS:000502121400042,View Full Record in Web of Science
J,"Shi, PZ; Chen, K",,,,"Shi, Peizhi; Chen, Ke",,,Learning Constructive Primitives for Real-Time Dynamic Difficulty Adjustment in Super Mario Bros,IEEE TRANSACTIONS ON GAMES,,,,,,,,,,,,,,,,,"Shi, Peizhi/GOP-0810-2022; Chen, Ke/C-2560-2008; , Ke/ABG-5874-2020","Shi, Peizhi/0000-0001-6724-282X; Chen, Ke/0000-0001-9457-9364; ",,,,,,,,,,,,,2475-1502,2475-1510,,,,JUN,2018,10,2,,,,,155,169,,10.1109/TCIAIG.2017.2740210,http://dx.doi.org/10.1109/TCIAIG.2017.2740210,,,,,,,,,,,,,WOS:000447380000004,View Full Record in Web of Science
C,"Drageset, O; Winands, MHM; Gaina, RD; Perez-Liebana, D",,,IEEE,"Drageset, Olve; Winands, Mark H. M.; Gaina, Raluca D.; Perez-Liebana, Diego",,,Optimising Level Generators for General Video Game AI,2019 IEEE CONFERENCE ON GAMES (COG),IEEE Conference on Computational Intelligence and Games,,,,IEEE Conference on Games (IEEE COG),"AUG 20-23, 2019","London, ENGLAND","IEEE,Queeen Mary Univ London,Microsoft,WARGAMING.NET,Unity,Creat Assembly,IEEE Computat Inetllgence Soc,Draughts",,,,,,,,,,,,,,,,,,,,,,,2325-4270,,978-1-7281-1884-0,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,WOS:000843154300047,View Full Record in Web of Science
C,"Irfan, A; Zafar, A; Hassan, S",,,IEEE,"Irfan, Ayesha; Zafar, Adeel; Hassan, Shahbaz",,,Evolving Levels for General Games Using Deep Convolutional Generative Adversarial Networks,2019 11TH COMPUTER SCIENCE AND ELECTRONIC ENGINEERING (CEEC),Computer Science and Electronic Engineering Conference,,,,11th Computer Science and Electronic Engineering Conference (CEEC),"SEP 18-20, 2019","Univ Essex, Sch Comp Sci & Elect Engn, Essex, ENGLAND",IEEE UKRI Comp Chapter,"Univ Essex, Sch Comp Sci & Elect Engn",,,,,,,,,,,,,,,,,,,,,,2472-1530,,978-1-7281-2952-5,,,,2019,,,,,,,96,101,,,,,,,,,,,,,,,,WOS:000539933500018,View Full Record in Web of Science
J,"Holmgard, C; Green, MC; Liapis, A; Togelius, J",,,,"Holmgard, Christoffer; Green, Michael Cerny; Liapis, Antonios; Togelius, Julian",,,Automated Playtesting With Procedural Personas Through MCTS With Evolved Heuristics,IEEE TRANSACTIONS ON GAMES,,,,,,,,,,,,,,,,,"Green, Michael Cerny/AAH-6806-2021","Green, Michael Cerny/0000-0003-3366-8165; Holmgard, Christoffer/0000-0002-1917-0099; Togelius, Julian/0000-0003-3128-4598; Liapis, Antonios/0000-0001-5554-1961",,,,,,,,,,,,,2475-1502,2475-1510,,,,DEC,2019,11,4,,,,,352,362,,10.1109/TG.2018.2808198,http://dx.doi.org/10.1109/TG.2018.2808198,,,,,,,,,,,,,WOS:000512949000006,View Full Record in Web of Science
C,"Flimmel, J; Gemrot, J; Cerny, V",,,IEEE,"Flimmel, Julius; Gemrot, Jakub; Cerny, Vojtech",,,Coevolution of AI and Level Generators for Super Mario Game,2021 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION (CEC 2021),IEEE Congress on Evolutionary Computation,,,,IEEE Congress on Evolutionary Computation (IEEE CEC),"JUN 28-JUL 01, 2021",ELECTR NETWORK,"IEEE,IEEE Computat Intelligence Soc,Jagiellonian Univ,Polish Acad Sci, Comm Informat,AGH Univ Sci & Technol,Warsaw Univ Technol",,,,,,,,,"ern�, Vojtch/HLQ-5610-2023; Gemrot, Jakub/AAO-8547-2020","Cerny, Vojtech/0000-0002-2921-2416; Gemrot, Jakub/0000-0002-4394-3450",,,,,,,,,,,,,,,978-1-7281-8392-3,,,,2021,,,,,,,2093,2100,,10.1109/CEC45853.2021.9504742,http://dx.doi.org/10.1109/CEC45853.2021.9504742,,,,,,,,,,,,,WOS:000703866100264,View Full Record in Web of Science
J,"Summerville, A; Snodgrass, S; Guzdial, M; Holmgard, C; Hoover, AK; Isaksen, A; Nealen, A; Togelius, J",,,,"Summerville, Adam; Snodgrass, Sam; Guzdial, Matthew; Holmgard, Christoffer; Hoover, Amy K.; Isaksen, Aaron; Nealen, Andy; Togelius, Julian",,,Procedural Content Generation via Machine Learning (PCGML),IEEE TRANSACTIONS ON GAMES,,,,,,,,,,,,,,,,,"Hoover, Amy K/GOK-0692-2022; Togelius, Julian/G-6237-2011","Togelius, Julian/0000-0003-3128-4598; Holmgard, Christoffer/0000-0002-1917-0099; Hoover, Amy/0000-0002-4661-8178",,,,,,,,,,,,,2475-1502,2475-1510,,,,SEP,2018,10,3,,,,,257,270,,10.1109/TG.2018.2846639,http://dx.doi.org/10.1109/TG.2018.2846639,,,,,,,,,,,,,WOS:000447381400002,View Full Record in Web of Science
J,"Kruse, J; Connor, AM; Marks, S",,,,"Kruse, Jan; Connor, Andy M.; Marks, Stefan",,,Evaluation of a Multi-agent Human-in-the-loop Game Design System,ACM TRANSACTIONS ON INTERACTIVE INTELLIGENT SYSTEMS,,,,,,,,,,,,,,,,,,"Connor, Andy/0000-0002-4046-5959; Marks, Stefan/0000-0002-5997-3136; Kruse, Jan/0000-0003-1460-1547",,,,,,,,,,,,,2160-6455,2160-6463,,,,SEP,2022,12,3,,,,,,,19,10.1145/3531009,http://dx.doi.org/10.1145/3531009,,,,,,,,,,,,,WOS:000842011600003,View Full Record in Web of Science
J,"Hooshyar, D; Yousefi, M; Wang, M; Lim, H",,,,"Hooshyar, D.; Yousefi, M.; Wang, M.; Lim, H.",,,A data-driven procedural-content-generation approach for educational games,JOURNAL OF COMPUTER ASSISTED LEARNING,,,,,,,,,,,,,,,,,"Hooshyar, Danial/X-5126-2018","Hooshyar, Danial/0000-0002-9143-6648",,,,,,,,,,,,,0266-4909,1365-2729,,,,DEC,2018,34,6,,,,,731,739,,10.1111/jcal.12280,http://dx.doi.org/10.1111/jcal.12280,,,,,,,,,,,,,WOS:000449518900009,View Full Record in Web of Science
